Date,Open,High,Low,Close,Adj Close,Volume
12/1/2003,1.723811,1.727205,1.71839,1.718597,1.718597,0
12/2/2003,1.71901,1.732112,1.717298,1.730313,1.730313,0
12/3/2003,1.730493,1.731812,1.725209,1.728101,1.728101,0
12/4/2003,1.727414,1.728997,1.718302,1.720697,1.720697,0
12/5/2003,1.720608,1.733102,1.719809,1.733102,1.733102,0
12/8/2003,1.733102,1.736202,1.727504,1.734214,1.734214,0
12/9/2003,1.733703,1.747793,1.733613,1.745414,1.745414,0
12/10/2003,1.745292,1.748007,1.7359,1.739796,1.739796,0
12/11/2003,1.740008,1.747702,1.737891,1.746206,1.746206,0
12/12/2003,1.746298,1.751099,1.744287,1.747305,1.747305,0
12/15/2003,1.747305,1.748588,1.738889,1.747305,1.747305,0
12/16/2003,1.747213,1.756111,1.744014,1.754201,1.754201,0
12/17/2003,1.754201,1.769097,1.750394,1.765506,1.765506,0
12/18/2003,1.765412,1.774812,1.763793,1.771009,1.771009,0
12/19/2003,1.771197,1.772798,1.762611,1.765194,1.765194,0
12/22/2003,1.765194,1.768597,1.760594,1.764291,1.764291,0
12/23/2003,1.763793,1.834391,1.763015,1.764197,1.764197,0
12/24/2003,1.763793,1.776609,1.763513,1.7756,1.7756,0
12/25/2003,1.775001,1.776294,1.772296,1.775411,1.775411,0
12/26/2003,1.775285,1.776294,1.770193,1.772013,1.772013,0
12/29/2003,1.772013,1.777304,1.770601,1.774497,1.774497,0
12/30/2003,1.774088,1.781515,1.772892,1.777999,1.777999,0
12/31/2003,1.777999,1.794398,1.777809,1.788813,1.788813,0
1/1/2004,1.788813,1.788813,1.781705,1.785204,1.785204,0
1/2/2004,1.785587,1.79501,1.779201,1.79369,1.79369,0
1/5/2004,1.793915,1.810315,1.793915,1.807207,1.807207,0
1/6/2004,1.807403,1.827786,1.80551,1.821295,1.821295,0
1/7/2004,1.820897,1.825584,1.812711,1.817785,1.817785,0
1/8/2004,1.816695,1.835603,1.811102,1.833887,1.833887,0
1/9/2004,1.833987,1.850687,1.82909,1.848087,1.848087,0
1/12/2004,1.848087,1.857804,1.845393,1.845597,1.845597,0
1/13/2004,1.845699,1.853706,1.840604,1.848805,1.848805,0
1/14/2004,1.848907,1.848907,1.764104,1.831703,1.831703,0
1/15/2004,1.833013,1.8353,1.818512,1.825184,1.825184,0
1/16/2004,1.825384,1.826885,1.794495,1.799014,1.799014,0
1/19/2004,1.799014,1.802191,1.782785,1.783294,1.783294,0
1/20/2004,1.783008,1.822191,1.782912,1.81881,1.81881,0
1/21/2004,1.818909,1.836716,1.815508,1.832811,1.832811,0
1/22/2004,1.83271,1.847507,1.83271,1.843692,1.843692,0
1/23/2004,1.843386,1.851886,1.817884,1.827786,1.827786,0
1/26/2004,1.827786,1.830295,1.811299,1.815014,1.815014,0
1/27/2004,1.815014,1.82919,1.802809,1.826684,1.826684,0
1/28/2004,1.826885,1.838506,1.812809,1.815113,1.815113,0
1/29/2004,1.815113,1.826684,1.809693,1.817092,1.817092,0
1/30/2004,1.816299,1.826284,1.806587,1.825284,1.825284,0
2/2/2004,1.825284,1.827385,1.814191,1.821593,1.821593,0
2/3/2004,1.832408,1.840096,1.82909,1.837898,1.837898,0
2/4/2004,1.837594,1.840096,1.82909,1.832206,1.832206,0
2/5/2004,1.832408,1.842401,1.830898,1.83621,1.83621,0
2/6/2004,1.836311,1.850413,1.832408,1.847507,1.847507,0
2/9/2004,1.847507,1.862683,1.845189,1.859704,1.859704,0
2/10/2004,1.859808,1.873396,1.858391,1.867309,1.867309,0
2/11/2004,1.867309,1.893796,1.865811,1.892506,1.892506,0
2/12/2004,1.892613,1.895303,1.88861,1.893007,1.893007,0
2/13/2004,1.892685,1.897893,1.880088,1.885298,1.885298,0
2/16/2004,1.885298,1.89179,1.881999,1.888788,1.888788,0
